sid,title,authors,year,journal,tier,pyramid,category,model,peer_reviewed,doi,pmid,pmcid,finding,abstract,ai_intervention,ai_target,ai_species,ai_effect,ai_dose,ai_samplesize,ai_effectsize,ai_limitations,atlas_url
VAL2022,Structure of the nutrient-sensing hub GATOR2,Valenstein ML; Rogala KB; Saxton RA; Chantranupong L; Sabatini DM et al.,2022,Nature,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human GATOR2 complex (cryo-EM),Yes,10.1038/s41586-022-04939-z,35831510,PMC9464592,"Cryo-EM structure of human GATOR2: a 1.1 MDa, two-fold symmetric cage built on an octagonal scaffold decorated with eight pairs of WD40 beta-propellers, and a map of where Sestrin2 and CASTOR1 dock. It substantially advances the GATOR2 side of the sensor module, though how GATOR2 inhibits GATOR1 is still not fully settled.
","Mechanistic target of rapamycin complex 1 (mTORC1) controls growth by regulating anabolic and catabolic processes in response to environmental cues, including nutrients. Amino acids signal to mTORC1 through the Rag GTPases, which are regulated by several protein complexes, including GATOR1 and GATOR2. GATOR2, which has five components (WDR24, MIOS, WDR59, SEH1L and SEC13), is required for amino acids to activate mTORC1 and interacts with the leucine and arginine sensors SESN2 and CASTOR1, respectively. Despite this central role in nutrient sensing, GATOR2 remains mysterious as its subunit stoichiometry, biochemical function and structure are unknown. Here we used cryo-electron microscopy to determine the three-dimensional structure of the human GATOR2 complex. We found that GATOR2 adopts a large (1.1 MDa), two-fold symmetric, cage-like architecture, supported by an octagonal scaffold and decorated with eight pairs of WD40 beta-propellers. The scaffold contains two WDR24, four MIOS and two WDR59 subunits circularized via two distinct types of junction involving non-catalytic RING domains and alpha-solenoids. Integration of SEH1L and SEC13 into the scaffold through beta-propeller blade donation stabilizes the GATOR2 complex and reveals an evolutionary relationship to the nuclear pore and membrane-coating complexes. The scaffold orients the WD40 beta-propeller dimers, which mediate interactions with SESN2, CASTOR1 and GATOR1. Our work reveals the structure of an essential component of the nutrient-sensing machinery and provides a foundation for understanding the function of GATOR2 within the mTORC1 pathway.",,GATOR2 complex architecture; Sestrin2/CASTOR1 binding sites,Human protein complex,Defines GATOR2 as a 1.1 MDa cage-like complex and maps the sensor-binding interfaces,,,,,https://mtor-atlas.org/study/VAL2022/
ZHOU2026,TET1-mediated DNA demethylation and transcription activation of MRPS17 induces lung adenocarcinoma through PI3K-AKT-mTOR pathway.,Zhou N; Song L; Wu Y et al.,2026,Journal of Molecular Histology,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human LUAD cell lines; mouse xenograft,Yes,10.1007/s10735-026-10862-8,,,"TET1 demethylates the MRPS17 promoter to drive MRPS17 overexpression in lung adenocarcinoma, activating PI3K-AKT-mTOR signalling and increasing proliferation, migration and invasion. MRPS17 knockdown induces apoptosis and suppresses tumour growth in vitro and in vivo.
","Lung adenocarcinoma (LUAD) poses significant therapeutic challenges. This study investigates the role of mitochondrial ribosomal protein S17 (MRPS17) in LUAD progression, focusing on its interaction with the PI3K-AKT-mTOR signaling pathway. MRPS17 is upregulated in LUAD tissues and associated with poor prognosis. MRPS17 overexpression promoted proliferation, migration and invasion, whereas knockdown induced apoptosis and diminished tumorigenic capability in vitro and in vivo. TET1 was identified as a crucial regulator of MRPS17, acting through demethylation of its promoter to enhance MRPS17 expression and subsequently activate the PI3K-AKT-mTOR pathway. MRPS17 is proposed as a prognostic marker and therapeutic target.",MRPS17 overexpression / knockdown; TET1 modulation,MRPS17; TET1; PI3K-AKT-mTOR,Human cell lines; mouse xenograft,MRPS17 upregulation activates PI3K-AKT-mTOR and increases tumour aggressiveness; knockdown induces apoptosis and reduces tumour growth,,,,,https://mtor-atlas.org/study/ZHOU2026/
SCH2003,TOS motif-mediated raptor binding regulates 4E-BP1 multisite phosphorylation and function,Schalm SS; Blenis J et al.,2003,Current biology : CB,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,In vitro,Yes,10.1016/s0960-9822(03)00329-4,12747827,,"The TOS motif mediates raptor binding and controls multisite 4E-BP1 phosphorylation by mTORC1.
","The mammalian target of rapamycin, mTOR, is a serine/threonine kinase that controls cell growth and proliferation via the translation regulators eukaryotic initiation factor 4E (eIF4E) binding protein 1 (4E-BP1) and ribosomal protein S6 kinase 1 (S6K1). We recently identified a TOR signaling (TOS) motif in the N terminus of S6K1 and the C terminus of 4E-BP1 and demonstrated that in S6K1, the TOS motif is necessary to facilitate mTOR signaling to phosphorylate and activate S6K1. However, it is unclear how the TOS motif in S6K1 and 4E-BP1 mediates mTOR signaling. Here, we show that a functional TOS motif is required for 4E-BP1 to bind to raptor, for 4E-BP1 to be efficiently phosphorylated in vitro by the mTOR/raptor complex, and for 4E-BP1 to be phosphorylated in vivo at all identified mTOR-regulated sites. mTOR/raptor-regulated phosphorylation is necessary for 4E-BP's efficient release from the translational initiation factor eIF4E. Consistently, overexpression of a mutant of 4E-BP1 containing a single amino acid change in the TOS motif (F114A) reduces cell size, demonstrating that mTOR-dependent regulation of cell growth by 4E-BP1 is dependent on a functional TOS motif. Our data demonstrate that the TOS motif functions as a docking site for the mTOR/raptor complex, which is required for multisite phosphorylation of 4E-BP1, eIF4E release from 4E-BP1, and cell growth.",Biochemical (TOS motif),mTOR / raptor / 4E-BP1,In vitro,TOS-motif-mediated raptor binding regulates 4E-BP1 multisite phosphorylation and function,,,,,https://mtor-atlas.org/study/SCH2003/
GAR2009,Ku-0063794 is a specific inhibitor of the mammalian target of rapamycin (mTOR),Garcia-Martinez JM; Alessi DR et al.,2009,The Biochemical journal,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,In vitro; cells,Yes,10.1042/BJ20090489,19402821,PMC2708931,"Ku-0063794 is a specific ATP-competitive mTOR inhibitor blocking mTORC1 and mTORC2.
","mTOR (mammalian target of rapamycin) stimulates cell growth by phosphorylating and promoting activation of AGC family kinases such as Akt (protein kinase B), S6K (p70 ribosomal S6 kinase) and SGK (serum and glucocorticoid protein kinase). mTORC1 phosphorylates the hydrophobic motif of S6K, whereas mTORC2 phosphorylates the hydrophobic motif of Akt and SGK. In the present paper we describe the small molecule Ku-0063794, which inhibits both mTORC1 and mTORC2 with an IC50 of approximately 10 nM, but does not suppress the activity of 76 other protein kinases or seven lipid kinases, including Class 1 PI3Ks at 1000-fold higher concentrations. Ku-0063794 is cell permeant, suppresses activation and hydrophobic motif phosphorylation of Akt, S6K and SGK, but not RSK, an AGC kinase not regulated by mTOR. Ku-0063794 also inhibited phosphorylation of the T-loop Thr308 residue of Akt phosphorylated by PDK1. In contrast, Ku-0063794 does not affect Thr308 phosphorylation in fibroblasts lacking essential mTORC2 subunits, suggesting that signalling processes have adapted to enable Thr308 phosphorylation to occur in the absence of Ser473 phosphorylation. We found that Ku-0063794 induced a much greater dephosphorylation of the mTORC1 substrate 4E-BP1 than rapamycin, even in mTORC2-deficient cells. Ku-0063794 also suppressed cell growth and induced a G1-cell-cycle arrest. Our results indicate that Ku-0063794 will be useful in delineating the physiological roles of mTOR and may have utility in treatment of cancers in which this pathway is inappropriately activated.",Ku-0063794 (ATP-competitive mTOR inhibitor),mTORC1 & mTORC2,In vitro; cells,Ku-0063794 is a specific mTOR inhibitor blocking both complexes (Akt/S6K/SGK signaling),,,,,https://mtor-atlas.org/study/GAR2009/
CAO2026,Substrate-selective mTORC1 regulation and gene dosage-dependent tissue divergence in Birt-Hogg-Dubé syndrome,Cao ZL; Zhao SC; Lin F; Liu YH; Hong XT; Hong LY; Xu LQ; Li FP; Yu HY; Yao WG; Chen WY,2026,Frontiers in Oncology,D - Mechanistic/Review,Narrative Review,Review,Narrative synthesis (human genetics + mouse mechanistic data),Yes,10.3389/fonc.2026.1848740,42558438,PMC13437482,"Reframes Birt-Hogg-Dube (BHD) syndrome beyond the classic 'global mTORC1 hyperactivation' model: FLCN acts as a GAP for RagC/D, giving substrate-selective (not global) mTORC1 control. Biallelic FLCN loss drives kidney tumors via MiT/TFE nuclear accumulation, while haploinsufficiency alone is sufficient for lung and skin lesions -- resolving the 'mTORC1 paradox' via gene dosage and signaling timing. Narrative synthesis of human genetics and mouse mechanistic data.
","Birt-Hogg-Dube (BHD) syndrome, caused by mutations in the tumor suppressor gene, has traditionally been classified as a classic 'mTORopathy' characterized by global mTORC1 activation. Recent structural and multi-omic studies have fundamentally challenged this view, revealing that FLCN functions as a GAP for RagC/D to govern substrate-selective mTORC1 regulation. Synthesizing emerging evidence, we describe an integrated pathogenic framework: biallelic inactivation drives renal tumorigenesis via constitutive MiT/TFE nuclear accumulation and metabolic reprogramming, whereas haploinsufficiency suffices to disrupt structural integrity in the lung and skin. By reconciling the 'mTORC1 paradox' through the lens of gene dosage and temporal signaling dynamics, we highlight novel therapeutic vulnerabilities targeting MiT/TFE factors and kinase rewiring, providing a rationale for organ-specific precision medicine in BHD.",,FLCN / RagC-RagD / mTORC1 / MiT-TFE,,,,,,,https://mtor-atlas.org/study/CAO2026/
VEZ1975,"Rapamycin (AY-22,989), a new antifungal antibiotic. I. Taxonomy of the producing streptomycete and isolation of the active principle",Vezina C; Kudelski A; Sehgal SN,1975,Journal of Antibiotics,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Streptomyces hygroscopicus (soil bacterium),Yes,10.7164/antibiotics.28.721,1102508,,"The original isolation of rapamycin from a soil bacterium found on Easter Island, discovered first as an antifungal compound decades before its mTOR-inhibiting mechanism was known.
","A streptomycete was isolated from an Easter Island soil sample and found to inhibit Candida albicans, Microsporum gypseum and Trichophyton granulosum. The antibiotic-producing microorganism was characterized and identified as Streptomyces hygroscopicus. The antifungal principle was extracted with organic solvent from the mycelium, isolated in crystalline form and named rapamycin. Rapamycin is mainly active against Candida albicans; minimum inhibitory concentration against ten strains ranged from 0.02 to 0.2 mug/ml. Its apparent activity against Microsporum gypseum and Trichophyton granulosum is lower because of its instability in culture media on prolonged incubation required by these fungi. No activity was observed against gram-positive and gram-negative bacteria. Acute toxicity in mice is low.",Rapamycin (natural product isolation),Antifungal principle (later FKBP/TOR),Streptomyces hygroscopicus (soil bacterium),Original isolation and characterization of rapamycin as an antifungal antibiotic from Easter Island soil,,,,,https://mtor-atlas.org/study/VEZ1975/
YAN2013,"mTOR kinase structure, mechanism and regulation",Yang H; Rudge DG; Koos JD; Vaidialingam B; Yang HJ; Pavletich NP,2013,Nature,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,X-ray crystallography (structural biology),Yes,10.1038/nature12122,23636326,PMC4512754,"Solved the crystal structure of the mTOR kinase itself. Revealed why the active site is so hard to reach - it sits in a deep recess guarded by the FRB domain, which acts as a 'gatekeeper' letting substrates in. This structure explains at the atomic level exactly how FKBP12-rapamycin blocks access, and why activating cancer mutations cluster where they do.
","The mammalian target of rapamycin (mTOR), a phosphoinositide 3-kinase-related protein kinase, controls cell growth in response to nutrients and growth factors and is frequently deregulated in cancer. Here we report co-crystal structures of a complex of truncated mTOR and mammalian lethal with SEC13 protein 8 (mLST8) with an ATP transition state mimic and with ATP-site inhibitors. The structures reveal an intrinsically active kinase conformation, with catalytic residues and a catalytic mechanism remarkably similar to canonical protein kinases. The active site is highly recessed owing to the FKBP12-rapamycin-binding (FRB) domain and an inhibitory helix protruding from the catalytic cleft. mTOR-activating mutations map to the structural framework that holds these elements in place, indicating that the kinase is controlled by restricted access. In vitro biochemistry shows that the FRB domain acts as a gatekeeper, with its rapamycin-binding site interacting with substrates to grant them access to the restricted active site. Rapamycin-FKBP12 inhibits the kinase by directly blocking substrate recruitment and by further restricting active-site access. The structures also reveal active-site residues and conformational changes that underlie inhibitor potency and specificity.",Structural (X-ray crystallography),mTOR / mLST8,X-ray crystallography,Co-crystal structures reveal mTOR's intrinsically active kinase and how ATP-site inhibitors bind,,,,,https://mtor-atlas.org/study/YAN2013/
MCNEILL2026,Sirolimus is effective for paediatric Evans syndrome and secondary autoimmune cytopenias: A retrospective cohort study.,McNeill M; Cellarius C; Illamperuma N et al.,2026,British Journal of Haematology,B - Human,3 - Human Observational,Human,Human (paediatric retrospective cohort),Yes,10.1111/bjh.70795,,,"Retrospective single-centre paediatric cohort reporting that sirolimus is effective in paediatric Evans syndrome and secondary autoimmune cytopenias. Abstract not yet indexed — effect sizes to be confirmed.
","[Abstract not available in the PubMed record at time of retrieval, 29 Aug 2026.]",Sirolimus,mTOR,Human,Reported effective for paediatric Evans syndrome and secondary autoimmune cytopenias,,,,,https://mtor-atlas.org/study/MCNEILL2026/
LI2026B,Brucella suis vaccine strain 2 promotes intracellular proliferation by inducing M2 macrophage polarization and autophagy through PI3K/Akt/mTOR signalling.,Li H; Yang J; Xu T; Ji Z; Wang Zhenhai,2026,Journal of Medical Microbiology,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,BV2 murine microglial cells,Yes,10.1099/jmm.0.002182,,,"Brucella suis vaccine strain 2 drives mixed M1/M2 macrophage polarisation and autophagic activation in BV2 cells; the M2 state and autophagy synergistically promote intracellular bacterial replication through PI3K/Akt/mTOR signalling.
","The persistent intracellular survival of Brucella is a key factor in immune evasion and chronic infection. This study investigated the interplay between macrophage polarization, autophagy and intracellular proliferation of Brucella suis vaccine strain 2 (S2) and the involvement of PI3K/AKT/mTOR signalling in BV2 cells. Following S2 infection, elevated expression of iNOS, Arg1, p-Akt, mTOR and autophagy-related proteins (LC3B-I, LC3B-II, ULK1) was observed with decreased p62. Laser confocal microscopy revealed efficient autophagosome-to-autolysosome conversion. Time-dependent increases in TNF and IL-10 secretion indicated a mixed M1/M2 phenotype. CFU assays demonstrated that PI3K/Akt/mTOR inhibition and autophagy induction promoted S2 intracellular proliferation, and pharmacological inhibition of the pathway reversed this effect by promoting M1 polarization while suppressing autophagic activity.",Brucella suis S2 infection; PI3K/Akt/mTOR inhibitors; autophagy modulators,"PI3K/Akt/mTOR; autophagy (LC3B, ULK1, p62); macrophage polarization",Mouse (BV2 cell line),M2 polarization plus autophagy promoted intracellular bacterial replication; pathway inhibition shifted cells to M1 and suppressed autophagy,,,,,https://mtor-atlas.org/study/LI2026B/
WOL2017,KICSTOR recruits GATOR1 to the lysosome and is necessary for nutrients to regulate mTORC1,Wolfson RL; Sabatini DM et al.,2017,Nature,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1038/nature21423,28199306,PMC5360989,"KICSTOR tethers GATOR1 to the lysosome, required for nutrient control of mTORC1.
","The mechanistic target of rapamycin complex 1 (mTORC1) is a central regulator of cell growth that responds to diverse environmental signals and is deregulated in many human diseases, including cancer and epilepsy. Amino acids are a key input to this system, and act through the Rag GTPases to promote the translocation of mTORC1 to the lysosomal surface, its site of activation. Multiple protein complexes regulate the Rag GTPases in response to amino acids, including GATOR1, a GTPase activating protein for RAGA, and GATOR2, a positive regulator of unknown molecular function. Here we identify a protein complex (KICSTOR) that is composed of four proteins, KPTN, ITFG2, C12orf66 and SZT2, and that is required for amino acid or glucose deprivation to inhibit mTORC1 in cultured human cells. In mice that lack SZT2, mTORC1 signalling is increased in several tissues, including in neurons in the brain. KICSTOR localizes to lysosomes; binds and recruits GATOR1, but not GATOR2, to the lysosomal surface; and is necessary for the interaction of GATOR1 with its substrates, the Rag GTPases, and with GATOR2. Notably, several KICSTOR components are mutated in neurological diseases associated with mutations that lead to hyperactive mTORC1 signalling. Thus, KICSTOR is a lysosome-associated negative regulator of mTORC1 signalling, which, like GATOR1, is mutated in human disease.",Biochemical/genetic (KICSTOR),KICSTOR / GATOR1 / Rag / mTORC1,Mammalian cells,KICSTOR recruits GATOR1 to the lysosome and is required for nutrients to regulate mTORC1,,,,,https://mtor-atlas.org/study/WOL2017/
BET2013,mTOR complex 2-Akt signaling at mitochondria-associated endoplasmic reticulum membranes (MAM) regulates mitochondrial physiology,Betz C; Hall MN et al.,2013,Proceedings of the National Academy of Sciences of the United States of America,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1073/pnas.1302455110,23852728,PMC3732980,"mTORC2-Akt signalling localizes to mitochondria-associated ER membranes to regulate mitochondrial function.
","The target of rapamycin (TOR) is a highly conserved protein kinase and a central controller of growth. Mammalian TOR complex 2 (mTORC2) regulates AGC kinase family members and is implicated in various disorders, including cancer and diabetes. Here we report that mTORC2 is localized to the endoplasmic reticulum (ER) subcompartment termed mitochondria-associated ER membrane (MAM). mTORC2 localization to MAM was growth factor-stimulated, and mTORC2 at MAM interacted with the IP3 receptor (IP3R)-Grp75-voltage-dependent anion-selective channel 1 ER-mitochondrial tethering complex. mTORC2 deficiency disrupted MAM, causing mitochondrial defects including increases in mitochondrial membrane potential, ATP production, and calcium uptake. mTORC2 controlled MAM integrity and mitochondrial function via Akt mediated phosphorylation of the MAM associated proteins IP3R, Hexokinase 2, and phosphofurin acidic cluster sorting protein 2. Thus, mTORC2 is at the core of a MAM signaling hub that controls growth and metabolism.",Biochemical/genetic (mTORC2),mTORC2 / Akt / MAM,Mammalian cells,mTORC2-Akt localizes to mitochondria-associated ER membranes (MAM) to regulate mitochondrial physiology,,,,,https://mtor-atlas.org/study/BET2013/
OSH2007,The proline-rich Akt substrate of 40 kDa (PRAS40) is a physiological substrate of mammalian target of rapamycin complex 1,Oshiro N; Yonezawa K et al.,2007,The Journal of biological chemistry,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1074/jbc.M702636200,17517883,PMC3199301,"PRAS40 is a physiological raptor-bound substrate and inhibitor of mTORC1.
","The proline-rich Akt substrate of 40 kilodaltons (PRAS40) was identified as a raptor-binding protein that is phosphorylated directly by mammalian target of rapamycin (mTOR) complex 1 (mTORC1) but not mTORC2 in vitro, predominantly at PRAS40 (Ser(183)). The binding of S6K1 and 4E-BP1 to raptor requires a TOR signaling (TOS) motif, which contains an essential Phe followed by four alternating acidic and small hydrophobic amino acids. PRAS40 binding to raptor was severely inhibited by mutation of PRAS40 (Phe(129) to Ala). Immediately carboxyl-terminal to Phe(129) are two small hydrophobic amino acid followed by two acidic residues. PRAS40 binding to raptor was also abolished by mutation of the major mTORC1 phosphorylation site, Ser(183), to Asp. PRAS40 (Ser(183)) was phosphorylated in intact cells; this phosphorylation was inhibited by rapamycin, by 2-deoxyglucose, and by overexpression of the tuberous sclerosis complex heterodimer. PRAS40 (Ser(183)) phosphorylation was also inhibited reversibly by withdrawal of all or of only the branched chain amino acids; this inhibition was reversed by overexpression of the Rheb GTPase. Overexpressed PRAS40 suppressed the phosphorylation of S6K1 and 4E-BP1 at their rapamycin-sensitive phosphorylation sites, and reciprocally, overexpression of S6K1 or 4E-BP1 suppressed phosphorylation of PRAS40 (Ser(183)) and its binding to raptor. RNA interference-induced depletion of PRAS40 enhanced the amino acid-stimulated phosphorylation of both S6K1 and 4E-BP1. These results establish PRAS40 as a physiological mTORC1 substrate that contains a variant TOS motif. Moreover, they indicate that the ability of raptor to bind endogenous substrates is limiting for the activity of mTORC1 in vivo and is therefore a potential locus of regulation.",Biochemical (PRAS40),mTORC1 / PRAS40,Mammalian cells,PRAS40 is a raptor-binding physiological mTORC1 substrate (phosphorylated at Ser183),,,,,https://mtor-atlas.org/study/OSH2007/
RAV2004,Inhibition of mTOR induces autophagy and reduces toxicity of polyglutamine expansions in fly and mouse models of Huntington disease,Ravikumar B; Rubinsztein DC et al.,2004,Nature Genetics,C - Animal,4 - Animal Study,Animal,Drosophila and mouse models of Huntington's disease,Yes,10.1038/ng1362,15146184,,"Rapamycin-induced autophagy cleared toxic clumped proteins and improved symptoms in fly and mouse models of Huntington's disease.
","Huntington disease is one of nine inherited neurodegenerative disorders caused by a polyglutamine tract expansion. Expanded polyglutamine proteins accumulate abnormally in intracellular aggregates. Here we show that mammalian target of rapamycin (mTOR) is sequestered in polyglutamine aggregates in cell models, transgenic mice and human brains. Sequestration of mTOR impairs its kinase activity and induces autophagy, a key clearance pathway for mutant huntingtin fragments. This protects against polyglutamine toxicity, as the specific mTOR inhibitor rapamycin attenuates huntingtin accumulation and cell death in cell models of Huntington disease, and inhibition of autophagy has the converse effects. Furthermore, rapamycin protects against neurodegeneration in a fly model of Huntington disease, and the rapamycin analog CCI-779 improved performance on four different behavioral tasks and decreased aggregate formation in a mouse model of Huntington disease. Our data provide proof-of-principle for the potential of inducing autophagy to treat Huntington disease.",Rapamycin (mTOR inhibition),mTOR / autophagy,Drosophila and mouse Huntington's disease models,mTOR inhibition induces autophagy and reduces polyglutamine toxicity in Huntington's disease models,,,,,https://mtor-atlas.org/study/RAV2004/
HEN2026,Survival and Homeostasis of Alveolar Macrophages in Vivo Depend on mTOR Signaling,Hennessy-Strahs S; Su X; Sun S; Deng G; Muo W; Li Jiarui; Miller T; Xiao X; Li XC,2026,American Journal of Respiratory Cell and Molecular Biology,C - Animal,4 - Animal Study,Animal,Mouse (myeloid-specific Mtor deletion); GM-CSF-driven alveolar-macrophage-like cell culture (in vitro),Yes,10.1093/ajrcmb/aanag139,42578718,,"Myeloid-specific deletion of mTOR (and pharmacologic mTOR inhibition with temsirolimus) causes progressive depletion of alveolar macrophages, impaired phagocytosis, lipid accumulation and PAP-like lung pathology in mice, identifying mTOR as a nonredundant regulator of alveolar macrophage survival — mechanistic support for mTOR-inhibitor-associated pulmonary toxicity.
","Alveolar homeostasis depends on tissue-resident professional phagocytes known as alveolar macrophages (AMs) that catabolize pulmonary surfactant. Pulmonary alveolar proteinosis (PAP) arises from impaired surfactant clearance due to loss or dysfunction of AMs, most commonly from disrupted GM-CSF-dependent AM homeostasis and less frequently from congenital defects in surfactant synthesis or processing. PAP has also been reported as a pulmonary toxicity associated with mTOR inhibitor-based immunosuppressive therapy. Although mTOR activity regulates macrophage metabolism and proliferation, its requirement for AM survival and lipid homeostasis remains unclear. Here, we examined the role of mTOR in AM survival and surfactant homeostasis, using complementary genetic and pharmacologic approaches in vivo, and GM-CSF-driven AM-like cell culture models in vitro. Myeloid-specific deletion of mTOR caused progressive, preferential depletion of AMs among tissue-resident macrophage populations, accompanied by impaired phagocytosis, intracellular lipid accumulation, and development of PAP-like lung pathology. In vivo, pharmacologic mTOR inhibition with temsirolimus reproduced key features of genetic mTOR deletion, including AM depletion, apoptosis, lipid accumulation, and PAP-like pathology. In vitro, mTOR activity was required to sustain GM-CSF-dependent expansion, maturation, and survival of AM-like cells. Mechanistically, mTOR loss reduced expression of PPARgamma and pro-survival Bcl-2 family members, linking mTOR activity to AM viability and lipid handling capacity. In summary, these findings identify mTOR as a nonredundant, cell-intrinsic regulator of alveolar macrophage survival and function required to maintain alveolar homeostasis. This work provides experimental support for AM-intrinsic mechanisms contributing to mTOR inhibitor-associated pulmonary toxicity, including PAP.",Myeloid-specific Mtor genetic deletion; temsirolimus (pharmacologic mTOR inhibitor),mTOR / PPARgamma / Bcl-2 family,Mouse (in vivo); GM-CSF-driven AM-like cells (in vitro),"mTOR loss (genetic or pharmacologic) depletes alveolar macrophages and causes PAP-like lung pathology; mTOR required for AM survival, phagocytosis and lipid handling",,,,,https://mtor-atlas.org/study/HEN2026/
ZHOU2026B,Corilagin attenuates osteoarthritis progression by coordinating NF-κB inhibition with PI3K/AKT/mTOR-associated autophagy restoration.,Zhou R; Li Jie; Chen S et al.,2026,International Immunopharmacology,C - Animal,4 - Animal Study,Animal,Mouse (DMM OA model); primary mouse chondrocytes,Yes,10.1016/j.intimp.2026.117342,,,"Corilagin restores chondrocyte autophagic flux and ECM synthesis by inhibiting PI3K/AKT/mTOR and NF-κB signalling, reducing cartilage erosion and OARSI scores in the mouse DMM osteoarthritis model.
","Osteoarthritis (OA) is characterized by persistent inflammation, extracellular matrix degradation and impaired autophagy. IL-1β-stimulated primary mouse chondrocytes were used to evaluate Corilagin. Corilagin restored chondrocyte proliferation and increased Aggrecan, collagen II and SOX9 expression while reducing MMP3, MMP13, iNOS and COX2. Mechanistically, Corilagin inhibited PI3K/AKT/mTOR and NF-κB signaling, reduced p65 nuclear translocation and restored autophagic flux (increased Beclin-1 and LC3 II/I, decreased p62). 3-MA partially abolished these protective effects. In vivo, intra-articular Corilagin reduced osteophyte formation, cartilage erosion, proteoglycan loss and OARSI scores in a destabilization of the medial meniscus mouse OA model.",Corilagin (intra-articular),"PI3K/AKT/mTOR; NF-κB; autophagy (Beclin-1, LC3, p62)",Mouse,"Restored autophagic flux, suppressed catabolic and inflammatory markers, protected cartilage in vivo",,,,,https://mtor-atlas.org/study/ZHOU2026B/
TAO2026,"Impaired mTOR/SREBP1-Mediated Lipogenesis as a Mechanism of Hepatic Glycogen Accumulation in a Carnivorous Fish Model, Largemouth Bass (Micropterus salmoides)",Tao J; Chen S; Liu N; Gong Y; Zhang S; He J; Huang X; Chen N; Li S,2026,FASEB Journal,C - Animal,4 - Animal Study,Animal,Carnivorous fish (hepatic glycogen accumulation model),Yes,10.1096/fj.202602519R,42606523,,"mTOR/SREBP1 signaling governs hepatic glucose partitioning; the insulin-responsive mTOR/SREBP1 axis promotes lipogenesis versus glycogen accumulation. In this model -- a carnivorous fish -- an impaired axis causes hepatic glycogen overload mimicking glucose intolerance.
",,,,,,,,,,https://mtor-atlas.org/study/TAO2026/
MCC2011,Efficacy and safety of sirolimus in lymphangioleiomyomatosis (MILES),McCormack FX; Inoue Y; Moss J; Singer LG; Strange C; et al.; Trapnell BC,2011,New England Journal of Medicine,B - Human,2 - Human Clinical Trial,Human,"Humans, RCT (n=89, women with LAM)",Yes,10.1056/NEJMoa1100391,21410393,PMC3118601,"A landmark placebo-controlled RCT (n=89) - the first to show that rapamycin (sirolimus) benefits a human lung disease. In LAM, lung function normally declines relentlessly; sirolimus STOPPED that decline while patients took it (and it resumed after stopping). Randomised human evidence that mTOR inhibition can suspend progression of this disease; the benefit did not persist after withdrawal.
","Lymphangioleiomyomatosis (LAM) is a progressive, cystic lung disease in women; it is associated with inappropriate activation of mammalian target of rapamycin (mTOR) signaling, which regulates cellular growth and lymphangiogenesis. Sirolimus (also called rapamycin) inhibits mTOR and has shown promise in phase 1-2 trials involving patients with LAM.

We conducted a two-stage trial of sirolimus involving 89 patients with LAM who had moderate lung impairment--a 12-month randomized, double-blind comparison of sirolimus with placebo, followed by a 12-month observation period. The primary end point was the difference between the groups in the rate of change (slope) in forced expiratory volume in 1 second (FEV(1)).

During the treatment period, the FEV(1) slope was -12±2 ml per month in the placebo group (43 patients) and 1±2 ml per month in the sirolimus group (46 patients) (P<0.001). The absolute between-group difference in the mean change in FEV(1) during the treatment period was 153 ml, or approximately 11% of the mean FEV(1) at enrollment. As compared with the placebo group, the sirolimus group had improvement from baseline to 12 months in measures of forced vital capacity, functional residual capacity, serum vascular endothelial growth factor D (VEGF-D), and quality of life and functional performance. There was no significant between-group difference in this interval in the change in 6-minute walk distance or diffusing capacity of the lung for carbon monoxide. After discontinuation of sirolimus, the decline in lung function resumed in the sirolimus group and paralleled that in the placebo group. Adverse events were more common with sirolimus, but the frequency of serious adverse events did not differ significantly between the groups.

In patients with LAM, sirolimus stabilized lung function, reduced serum VEGF-D levels, and was associated with a reduction in symptoms and improvement in quality of life. Therapy with sirolimus may be useful in selected patients with LAM. (Funded by the National Institutes of Health and others; MILES ClinicalTrials.gov number, NCT00414648.).",Sirolimus (rapamycin),mTOR,"Human – RCT (MILES, n=89, women with LAM)",Sirolimus stabilized lung function (FEV1) in lymphangioleiomyomatosis during treatment,"Oral sirolimus, initial 2 mg/day titrated to trough 5-15 ng/ml; 12-month double-blind treatment + 12-month observation off-drug; 1:1 vs placebo (MILES).","111 consented, 89 randomized (43 placebo / 46 sirolimus); women with LAM, FEV1 <=70% predicted.",Primary outcome FEV1 slope (mL/month): sirolimus stabilized lung function during treatment while placebo declined; benefit waned after stopping the drug.,Interim analysis delayed by site/contracting issues; other health-symptom measures not significantly different; benefit tied to continued dosing.,https://mtor-atlas.org/study/MCC2011/
