source,target,n_studies,study_sids,status,confidence,example_raw,REVIEWED,SIGN
mTOR,ULK1-Atg13-FIP200,1,GAN2009,Proposed,heuristic-order-in-AI_Target,mTOR / ULK1-ATG13-FIP200,,
mTOR,REDD1,1,BRU2004,Proposed,heuristic-order-in-AI_Target,mTOR / REDD1 / TSC1-TSC2,,
REDD1,TSC1-TSC2,1,BRU2004,Proposed,heuristic-order-in-AI_Target,mTOR / REDD1 / TSC1-TSC2,,
autophagy,TRIB3-p62,1,MA2026,Proposed,heuristic-order-in-AI_Target,AKT/mTOR / autophagy / TRIB3-p62,,
TSC1-TSC2,Rheb,1,TEE2003,Proposed,heuristic-order-in-AI_Target,TSC1-TSC2 (Hamartin/Tuberin) / Rheb / mTOR,,
Rheb,mTOR,1,TEE2003,Proposed,heuristic-order-in-AI_Target,TSC1-TSC2 (Hamartin/Tuberin) / Rheb / mTOR,,
Rheb,S6K,1,STO2003,Proposed,heuristic-order-in-AI_Target,Rheb / S6K / TOR,,
S6K,TOR,1,STO2003,Proposed,heuristic-order-in-AI_Target,Rheb / S6K / TOR,,
4E-BP,mitochondria,1,ZID2009,Proposed,heuristic-order-in-AI_Target,4E-BP / mitochondria,,
raptor,p70 S6K,1,NOJ2003,Proposed,heuristic-order-in-AI_Target,mTOR / raptor / p70 S6K / 4E-BP1,,
mTORC1,Spalt-related,1,DEN2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / Spalt-related (Salr) / FoxO,,
Spalt-related,FoxO,1,DEN2026,Proposed,heuristic-order-in-AI_Target,mTORC1 / Spalt-related (Salr) / FoxO,,
mTORC2,PIP3,1,GAN2011,Proposed,heuristic-order-in-AI_Target,mTORC2 / PIP3 / Akt Ser473,,
PIP3,Akt Ser473,1,GAN2011,Proposed,heuristic-order-in-AI_Target,mTORC2 / PIP3 / Akt Ser473,,
mTORC1,amino-acid transporters,1,GOB2016,Proposed,heuristic-order-in-AI_Target,mTORC1 / amino-acid transporters,,
Leucyl-tRNA synthetase,RagD,1,HAN2012,Proposed,heuristic-order-in-AI_Target,Leucyl-tRNA synthetase (LRS) / RagD / mTORC1,,
RagD,mTORC1,1,HAN2012,Proposed,heuristic-order-in-AI_Target,Leucyl-tRNA synthetase (LRS) / RagD / mTORC1,,
