rank,mentions,n_studies,suggested_name,suggested_slug,hgnc_id,raw_variants,stripped,flags,fields,example_studies,DECISION,CANONICAL_NAME,TYPE,MERGE_INTO,NOTE
197,1,1,~25% expression,25-expression,,~25% expression,,defer:singleton,ai_intervention,,defer,,,,
198,1,1,TOR pathway deletions,tor-pathway-deletions,,TOR pathway deletions,,defer:singleton,ai_intervention,,defer,,,,
199,1,1,FKBP12-rapamycin affinity,fkbp12-rapamycin-affinity,,FKBP12-rapamycin affinity,,defer:singleton,ai_intervention,,defer,,,,
200,1,1,growth-factor,growth-factor,,growth-factor signaling,,defer:singleton,ai_target,,defer,,,,
201,1,1,PI3K-AKT,pi3k-akt,,PI3K-AKT,,defer:singleton,ai_target,,defer,,,,
202,1,1,Quantitative phosphoproteomics,quantitative-phosphoproteomics,,Quantitative phosphoproteomics,,defer:singleton,ai_intervention,,defer,,,,
203,1,1,LAMTOR1,lamtor1,,LAMTOR1,,defer:singleton,ai_target,,defer,,,,
204,1,1,Perturbation of lysosomal cholesterol export,perturbation-of-lysosomal-cholesterol-export,,Perturbation of lysosomal cholesterol export,,defer:singleton,ai_intervention,,defer,,,,
205,1,1,crystal,crystal,,crystal,,defer:singleton,ai_intervention,,defer,,,,
206,1,1,hybrid,hybrid,,hybrid,,defer:singleton,ai_intervention,,defer,,,,
207,1,1,rapalogs,rapalogs,,rapalogs,,defer:singleton,ai_intervention,,defer,,,,
208,1,1,Intermittent low-dose rapamycin,intermittent-low-dose-rapamycin,,Intermittent low-dose rapamycin,,defer:singleton,ai_intervention,,defer,,,,
209,1,1,PTEN-Akt,pten-akt,,PTEN-Akt,,defer:singleton,ai_target,,defer,,,,
210,1,1,RNAi of let-363,rnai-of-let-363,,RNAi of let-363,,defer:singleton,ai_intervention,,defer,,,,
211,1,1,CeTOR,cetor,,CeTOR,,defer:singleton,ai_intervention,,defer,,,,
212,1,1,TOR pathway modulation,tor-pathway-modulation,,TOR pathway modulation,,defer:singleton,ai_intervention,,defer,,,,
213,1,1,CASTOR,castor,,CASTOR,,defer:singleton,ai_target,,defer,,,,
214,1,1,CASTOR2,castor2,,CASTOR2,,defer:singleton,ai_intervention,,defer,,,,
215,1,1,SKN-1,skn-1,,SKN-1,,defer:singleton,ai_target,,defer,,,,
216,1,1,DAF-16,daf-16,,DAF-16,,defer:singleton,ai_target,,defer,,,,
217,1,1,S6K1 knockout,s6k1-knockout,,S6K1 knockout,,defer:singleton,ai_intervention,,defer,,,,
218,1,1,SLC15A3 dipeptide transporter,slc15a3-dipeptide-transporter,,SLC15A3 dipeptide transporter,,defer:singleton,ai_target,,defer,,,,
219,1,1,nutrient sensing,nutrient-sensing,,nutrient sensing,,defer:singleton,ai_target,,defer,,,,
220,1,1,SLC15A3,slc15a3,,SLC15A3 inhibition,,defer:singleton,ai_intervention,,defer,,,,
221,1,1,ATF4,atf4,,ATF4,,defer:singleton,ai_target,,defer,,,,
222,1,1,mitochondrial folate   cycle,mitochondrial-folate-cycle,,mitochondrial folate   cycle,,defer:singleton,ai_target,,defer,,,,
223,1,1,RAD001,rad001,,RAD001,,defer:singleton,ai_intervention,,defer,,,,
224,1,1,Genomics,genomics,,Genomics,,defer:singleton,ai_intervention,,defer,,,,
225,1,1,ceramide,ceramide,,ceramide axis,,defer:singleton,ai_target,,defer,,,,
226,1,1,Urolithin A,urolithin-a,,Urolithin A,,defer:singleton,ai_intervention,,defer,,,,
227,1,1,endocrine therapy,endocrine-therapy,,endocrine therapy,,defer:singleton,ai_intervention,,defer,,,,
228,1,1,Metformin   monotherapy,metformin-monotherapy,,Metformin   monotherapy,,defer:singleton,ai_intervention,,defer,,,,
229,1,1,BCAAs,bcaas,,BCAAs,,defer:singleton,ai_target,,defer,,,,
230,1,1,restriction of individual BCAAs: Leu,restriction-of-individual-bcaas-leu,,restriction of individual BCAAs: Leu,,defer:singleton,ai_intervention,,defer,,,,
231,1,1,Ile,ile,,Ile,,defer:singleton,ai_intervention,,defer,,,,
232,1,1,Val,val,,Val,,defer:singleton,ai_intervention,,defer,,,,
233,1,1,mitochondrial biogenesis,mitochondrial-biogenesis,,mitochondrial biogenesis,,defer:singleton,ai_target,,defer,,,,
234,1,1,ROS,ros,,ROS,,defer:singleton,ai_target,,defer,,,,
235,1,1,Tsc1 conditional knockout,tsc1-conditional-knockout,,Tsc1 conditional knockout,,defer:singleton,ai_intervention,,defer,,,,
236,1,1,Ragulator-Rag,ragulator-rag,,Ragulator-Rag,,defer:singleton,ai_intervention,,defer,,,,
237,1,1,Ketamine,ketamine,,Ketamine,,defer:singleton,ai_intervention,,defer,,,,
238,1,1,Temsirolimus,temsirolimus,,Temsirolimus,,defer:singleton,ai_intervention,,defer,,,,
239,1,1,Beclin-1,beclin-1,,Beclin-1,,defer:singleton,ai_target,,defer,,,,
240,1,1,TOP mRNAs,top-mrnas,,TOP mRNAs,,defer:singleton,ai_target,,defer,,,,
241,1,1,TSC,tsc,,TSC,,defer:singleton,ai_target,,defer,,,,
242,1,1,PhenoAge modeling,phenoage-modeling,,PhenoAge modeling,,defer:singleton,ai_intervention,,defer,,,,
243,1,1,FKBP12-rapamycin complex,fkbp12-rapamycin-complex,,FKBP12-rapamycin complex,,defer:singleton,ai_intervention,,defer,,,,
244,1,1,4EBP1-eIF4E,4ebp1-eif4e,,4EBP1-eIF4E,,defer:singleton,ai_target,,defer,,,,
245,1,1,FRAP,frap,,FRAP,,defer:singleton,ai_target,,defer,,,,
246,1,1,mTOR-deficient T cells,mtor-deficient-t-cells,,mTOR-deficient T cells,,defer:singleton,ai_intervention,,defer,,,,
247,1,1,AZD8055,azd8055,,AZD8055,,defer:singleton,ai_intervention,,defer,,,,
248,1,1,Atg5 overexpression,atg5-overexpression,,Atg5 overexpression,,defer:singleton,ai_intervention,,defer,,,,
249,1,1,insulin-IGF,insulin-igf,,insulin-IGF,,defer:singleton,ai_target,,defer,,,,
250,1,1,autophagy-gene RNAi,autophagy-gene-rnai,,autophagy-gene RNAi,,defer:singleton,ai_intervention,,defer,,,,
251,1,1,PPARα,pparalpha,,PPARα,,defer:singleton,ai_target,,defer,,,,
252,1,1,ketogenesis,ketogenesis,,ketogenesis,,defer:singleton,ai_target,,defer,,,,
253,1,1,raptor liver knockout,raptor-liver-knockout,,raptor liver knockout,,defer:singleton,ai_intervention,,defer,,,,
254,1,1,Genome-wide CRISPR-Cas9 screen,genome-wide-crispr-cas9-screen,,Genome-wide CRISPR-Cas9 screen,,defer:singleton,ai_intervention,,defer,,,,
255,1,1,amino-acid withdrawal,amino-acid-withdrawal,,amino-acid withdrawal,,defer:singleton,ai_intervention,,defer,,,,
256,1,1,rictor-mTOR,rictor-mtor,,rictor-mTOR,,defer:singleton,ai_intervention,,defer,,,,
257,1,1,autophagy-lysosome,autophagy-lysosome,,autophagy-lysosome,,defer:singleton,ai_target,,defer,,,,
258,1,1,theoretical,theoretical,,theoretical,,defer:singleton,ai_intervention,,defer,,,,
259,1,1,proposes rapamycin,proposes-rapamycin,,proposes rapamycin,,defer:singleton,ai_intervention,,defer,,,,
260,1,1,LKB1,lkb1,,LKB1,,defer:singleton,ai_target,,defer,,,,
261,1,1,AICAR,aicar,,AICAR,,defer:singleton,ai_intervention,,defer,,,,
262,1,1,LKB1 overexpression,lkb1-overexpression,,LKB1 overexpression,,defer:singleton,ai_intervention,,defer,,,,
263,1,1,Rag GTPase,rag-gtpase,,Rag GTPase,,defer:singleton,ai_target,,defer,,,,
264,1,1,insulin,insulin,,insulin signaling,,defer:singleton,ai_target,,defer,,,,
265,1,1,Gtr1,gtr1,,Gtr1,,defer:singleton,ai_target,,defer,,,,
266,1,1,GAP for Gtr1,gap-for-gtr1,,GAP for Gtr1,,defer:singleton,ai_intervention,,defer,,,,
267,1,1,TRIB3-p62,trib3-p62,,TRIB3-p62,,defer:singleton,ai_target,,defer,,,,
268,1,1,PIP4K2A overexpression,pip4k2a-overexpression,,PIP4K2A overexpression,,defer:singleton,ai_intervention,,defer,,,,
269,1,1,glutaminolysis,glutaminolysis,,glutaminolysis,,defer:singleton,ai_intervention,,defer,,,,
270,1,1,Rheb mutants,rheb-mutants,,Rheb mutants,,defer:singleton,ai_intervention,,defer,,,,
271,1,1,overexpression,overexpression,,overexpression,,defer:singleton,ai_intervention,,defer,,,,
272,1,1,spermatogonial stem cell survival,spermatogonial-stem-cell-survival,,spermatogonial stem cell survival,,defer:singleton,ai_target,,defer,,,,
273,1,1,SIRT1,sirt1,,SIRT1,,defer:singleton,ai_target,,defer,,,,
274,1,1,Everolimus – daily 0.5 mg,everolimus-daily-0-5-mg,,Everolimus – daily 0.5 mg,,defer:singleton,ai_intervention,,defer,,,,
275,1,1,weekly 5 mg,weekly-5-mg,,weekly 5 mg,,defer:singleton,ai_intervention,,defer,,,,
276,1,1,24 weeks,24-weeks,,24 weeks,,defer:singleton,ai_intervention,,defer,,,,
277,1,1,Spalt-related,spalt-related,,Spalt-related,,defer:singleton,ai_target,,defer,,,,
278,1,1,FoxO,foxo,,FoxO,,defer:singleton,ai_target,,defer,,,,
279,1,1,Integrated stress response,integrated-stress-response,,Integrated stress response activation,,defer:singleton,ai_intervention,,defer,,,,
280,1,1,PtdIns(3,ptdins-3,,PtdIns(3,,defer:singleton,ai_intervention,,defer,,,,
281,1,1,PtdIns(4,ptdins-4,,PtdIns(4,,defer:singleton,ai_intervention,,defer,,,,
282,1,1,5)P3,5-p3,,5)P3,,defer:singleton,ai_intervention,,defer,,,,
283,1,1,amino-acid transporters,amino-acid-transporters,,amino-acid transporters,,defer:singleton,ai_target,,defer,,,,
284,1,1,RagD,ragd,,RagD,,defer:singleton,ai_target,,defer,,,,
